_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_TAXON_GROUP_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
Montane Bumble Bee	Bombus vancouverensis nearcticus	Hymenoptera	bvan	GCA_011952275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/952/275/GCF_011952275.1_Bvanc_JDL1245	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bombus_vancouverensis_nearcticus/100/	NCBI Bombus vancouverensis nearcticus Annotation Release 100	University of Alabama	https://www.ua.edu/
Oribatid soil mite	Oppia nitens	Acari	onit	GCA_028296485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/296/485/GCF_028296485.1_nextdenovo-longstitch-racon4-pilon3	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Oppia_nitens/GCF_028296485.1-RS_2023_03/	NCBI Oppia nitens Annotation Release GCF_028296485.1-RS_2023_03	University of Saskatchewan	https://www.usask.ca/
Portuguese oyster	Crassostrea angulata	Mollusca	cang	GCA_025612915.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/612/915/GCF_025612915.1_ASM2561291v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Crassostrea_angulata/GCF_025612915.1-RS_2022_12/	NCBI Crassostrea angulata Annotation Release GCF_025612915.1-RS_2022_12	Ocean University of China	http://www.ouc.edu.cn/main.htm
Soft-shell clam	Mya arenaria	Mollusca	mare	GCA_026914265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/914/265/GCF_026914265.1_ASM2691426v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Mya_arenaria/GCF_026914265.1-RS_2023_01/	NCBI Mya arenaria Annotation Release GCF_026914265.1-RS_2023_01	Pacific Northwest Research Institute	https://www.pnri.org/
South American locust	Schistocerca cancellata	Orthoptera	scan	GCA_023864275.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/864/275/GCF_023864275.1_iqSchCanc2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_cancellata/100	NCBI Schistocerca cancellata Annotation Release 100	Behavioral Plasticity Research Institute (BPRI), Texas A&M University	https://behavioralplasticity.org/
Spruce gall adelgid	Adelges cooleyi	Hemiptera	acoo	GCA_023614345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/614/345/GCF_023614345.1_UGA_ACOO_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Adelges_cooleyi/100/	NCBI Adelges cooleyi Annotation Release 100	University of Georgia	https://www.uga.edu/
Tick	Dermacentor silvarum	Ixodidea	dsil	GCA_013339745.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/745/GCF_013339745.2_BIME_Dsil_1.4	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Dermacentor_silvarum/101/	NCBI Dermacentor silvarum Annotation Release 101	TIGMIC Group, Beijing Institute of Microbiology and Epidemiology	https://ngdc.cncb.ac.cn/gwh/Assembly/8869/show
Vagrant locust	Schistocerca nitens	Orthoptera	snit	GCA_023898315.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/898/315/GCF_023898315.1_iqSchNite1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_nitens/100	NCBI Schistocerca nitens Annotation Release 100	Behavioral Plasticity Research Institute (BPRI), Texas A&M University	https://behavioralplasticity.org/
Varroa mite	Varroa jacobsoni	Acari	vjac	GCA_002532875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/532/875/GCF_002532875.1_vjacob_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Varroa_jacobsoni/100/	NCBI Varroa jacobsoni Annotation Release 100	Okinawa Institute of Science and Technology	https://www.oist.jp/
Zebra mussle	Dreissena polymorpha	Mollusca	dpol	GCA_020536995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/536/995/GCF_020536995.1_UMN_Dpol_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Dreissena_polymorpha/100	NCBI Dreissena polymorpha Annotation Release 100	University of Minnesota	https://twin-cities.umn.edu/

# cat _refseq_e111.lst | grep -vF '#' | grep -vP '^\s*$' | awk -F "\t" '{print NF}' | sort | uniq -c
# python3 ./scripts/tmpl2meta.py --template meta/refseq_chunk.tmpl --param_table meta/2023-03.109_for_111/_refseq_e111.locusts.lst --output_dir meta/2023-03.109_for_111 --out_file_pfx rs8t_
# python3 ./scripts/tmpl2meta.py --template meta/refseq.tmpl --param_table meta/2023-03.109_for_111/_refseq_e111.nonLocust.lst --output_dir meta/2023-03.109_for_111 --out_file_pfx rs8t_
