_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_TAXON_GROUP_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
European paper wasp	Polistes dominula	Hymenoptera	pdom	GCA_001465965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/465/965/GCF_001465965.1_Pdom_r1.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Polistes_dominula/100	NCBI Polistes dominula Annotation Release 100	Toth lab, Department of Biology, Indiana University	https://www.tothlab.org/
Common paper wasp	Polistes fuscatus	Hymenoptera	pfus	GCA_010416935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/416/935/GCF_010416935.1_CU_Pfus_HIC	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Polistes_fuscatus/100	NCBI Polistes fuscatus Annotation Release 100	Department of Neurobiology and Behavior, Cornell University	https://nbb.cornell.edu/
Rocky Mountain wood tick	Dermacentor andersoni	Ixodidea	dand	GCA_023375885.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/375/885/GCF_023375885.1_qqDerAnde1.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Dermacentor_andersoni/100	NCBI Dermacentor andersoni Annotation Release 100	United States Department of Agriculture	https://www.usda.gov/
Naval orange worm	Amyelois transitella	Lepidoptera	atra	GCA_001186105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/105/GCF_001186105.1_ASM118610v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Amyelois_transitella/100/	NCBI Amyelois transitella Annotation Release 100	University of Illinois at Urbana-Champaign	https://illinois.edu/
Squinting bush brown	Bicyclus anynana	Lepidoptera	bany	GCA_900239965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/239/965/GCF_900239965.1_Bicyclus_anynana_v1.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bicyclus_anynana/100/	NCBI Bicyclus anynana Annotation Release 100	Nematode and Neglected Genomics, IEB, University of Edinburgh	https://www.ed.ac.uk/biology/evolutionary-biology
Cotton bollworm	Helicoverpa armigera	Lepidoptera	harm	GCA_023701775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/701/775/GCF_023701775.1_HaSCD2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Helicoverpa_armigera/100/	NCBI Helicoverpa armigera Annotation Release 101	Nanjing Agricultural University	http://english.njau.edu.cn/mainm.htm
Corn earworm	Helicoverpa zea	Lepidoptera	hzea	GCA_022581195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/581/195/GCF_022581195.2_ilHelZeax1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Helicoverpa_zea/100/	NCBI Helicoverpa zea Annotation Release 100	United States Department of Agriculture	https://www.usda.gov/
Soybean pod borer	Leguminivora glycinivorella	Lepidoptera	lgly	GCA_023078275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/078/275/GCF_023078275.1_LegGlyc_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Leguminivora_glycinivorella/100	NCBI Leguminivora glycinivorella Annotation Release 100	Corn Insects & Crop Genetics Research Unit, USDA-ARS	https://www.ars.usda.gov/midwest-area/ames/cicgru/
Tobacco hornworm	Manduca sexta	Lepidoptera	msex	GCA_014839805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/839/805/GCF_014839805.1_JHU_Msex_v1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Manduca_sexta/102/	NCBI Manduca sexta Annotation Release 102	Department of Biomedical Engineering, Johns Hopkins University	https://www.bme.jhu.edu/
Pink bollworm	Pectinophora gossypiella	Lepidoptera	pgos	GCA_024362695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/362/695/GCF_024362695.1_ilPecGoss1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Pectinophora_gossypiella/100	NCBI Pectinophora gossypiella Annotation Release 100	United States Department of Agriculture	https://www.ars.usda.gov/
American grasshopper	Schistocerca americana	Orthoptera	same	GCA_021461395.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/461/395/GCF_021461395.2_iqSchAmer2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_americana/100/	NCBI Schistocerca americana Annotation Release 100	Behavioral Plasticity Research Institute (BPRI), Texas A&M University	https://behavioralplasticity.org/
South American locust	Schistocerca cancellata	Orthoptera	scan	GCA_023864275.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/864/275/GCF_023864275.1_iqSchCanc2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_cancellata/100	NCBI Schistocerca cancellata Annotation Release 100	Behavioral Plasticity Research Institute (BPRI), Texas A&M University	https://behavioralplasticity.org/
Grasshoppers	Schistocerca gregaria	Orthoptera	sgre	GCA_023897955.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/897/955/GCF_023897955.1_iqSchGreg1.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_gregaria/100	NCBI Schistocerca gregaria Annotation Release 100	Agricultural Research Service, United States Department of Agriculture	https://www.ars.usda.gov/
Vagrant locust	Schistocerca nitens	Orthoptera	snit	GCA_023898315.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/898/315/GCF_023898315.1_iqSchNite1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_nitens/100	NCBI Schistocerca nitens Annotation Release 100	Behavioral Plasticity Research Institute (BPRI), Texas A&M University	https://behavioralplasticity.org/
Central American locust	Schistocerca piceifrons	Orthoptera	spic	GCA_021461385.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/461/385/GCF_021461385.2_iqSchPice1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_piceifrons/100/	NCBI Schistocerca piceifrons Annotation Release 100	Behavioral Plasticity Research Institute (BPRI)	https://behavioralplasticity.org/
Grasshoppers	Schistocerca serialis cubense	Orthoptera	sser	GCA_023864345.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/864/345/GCF_023864345.2_iqSchSeri2.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_serialis_cubense/100	NCBI Schistocerca serialis cubense Annotation Release 100	Behavioral Plasticity Research Institute (BPRI)	https://behavioralplasticity.org/
Parasitoid wasp	Chelonus insularis	Parasitoida (Hymen)	cins	GCA_013357705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/357/705/GCF_013357705.1_ASM1335770v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Chelonus_insularis/100	NCBI Chelonus insularis Annotation Release 100	Department of Entomology, University of Georgia, Athens	https://ent.uga.edu/
Endoparasitoid wasp	Venturia canescens	Parasitoida (Hymen)	vcan	GCA_019457755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/457/755/GCF_019457755.1_ASM1945775v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Venturia_canescens/100	NCBI Venturia canescens Annotation Release 100	Agricultural Research Service, United States Department of Agriculture	https://www.ars.usda.gov/
Redheaded pine sawfly	Neodiprion lecontei	Tenthredinoidea	nlec	GCA_021901455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/901/455/GCF_021901455.1_iyNeoLeco1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Neodiprion_lecontei/101/	NCBI Neodiprion lecontei Annotation Release 101	United States Department of Agriculture	https://www.ars.usda.gov/
White pine sawfly	Neodiprion pinetum	Tenthredinoidea	npin	GCA_021155775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/155/775/GCF_021155775.1_iyNeoPine1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Neodiprion_pinetum/100/	NCBI Neodiprion pinetum Annotation Release 100	United States Department of Agriculture	https://www.ars.usda.gov/
Melon Thrips	Thrips palmi	Thysanoptera	tpal	GCA_012932325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/932/325/GCF_012932325.1_TpBJ-2018v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Thrips_palmi/100/	NCBI Thrips palmi Annotation Release 100	Institute of Plant and Environmental Protection, Beijing Academy of Agriculture and Forestry Sciences	http://www.ipepbaafs.cn/english.html
# Updates:									
Springtails	Folsomia candida	Collembola	fcan	GCA_002217175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/217/175/GCF_002217175.1_ASM221717v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Folsomia_candida/101/	NCBI Folsomia candida Annotation Release 101	VU Amsterdam	https://research.vu.nl/en/organisations/animal-ecology-2
Pea aphid	Acyrthosiphon pisum	Hemiptera	apis	GCA_005508785.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/508/785/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2	https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_005508785.2/	NCBI RefSeq GCF_005508785.2	Integrative Biology, University of Texas at Austin	https://integrativebio.utexas.edu/
Australian sheep blowfly	Lucilia cuprina	Diptera	lcup	GCA_022045245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/045/245/GCF_022045245.1_ASM2204524v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Lucilia_cuprina/101/	NCBI Lucilia cuprina Annotation Release 101	Department of Entomology and Plant Pathology, North Carolina State University	https://cals.ncsu.edu/entomology-and-plant-pathology/
# have community/OF									
Tick	Dermacentor silvarum	Ixodidea	dsil	GCA_013339745.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/745/GCF_013339745.2_BIME_Dsil_1.4/	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Dermacentor_silvarum/101/	NCBI Dermacentor silvarum Annotation Release 101	TIGMIC Group, Beijing Institute of Microbiology and Epidemiology	https://ngdc.cncb.ac.cn/gwh/Assembly/8869/show
Brown dog tick	Rhipicephalus sanguineus	Ixodidea	rsan	GCA_013339695.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/695/GCF_013339695.2_BIME_Rsan_1.4	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Rhipicephalus_sanguineus/101/	NCBI Rhipicephalus sanguineus Annotation Release 101	TIGMIC Group, Beijing Institute of Microbiology and Epidemiology	https://bigd.big.ac.cn/gwh/Assembly/8868/show
# User request
Greater wax moth	Galleria mellonella	Lepidoptera	gmel	GCA_003640425.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/640/425/GCF_003640425.2_ASM364042v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Galleria_mellonella/101	NCBI Galleria mellonella Annotation Release 101	Department of Entomology, University of Illinois at Urbana-Champaign	https://sib.illinois.edu/entomology/


# cat _refseq_110.lst | grep -vF '#' | grep -vP '^\s*$' | awk -F "\t" '{print NF}' | sort | uniq -c
# cd ../../
# python3 ./scripts/tmpl2meta.py --template meta/refseq.tmpl --param_table meta/109_for_110/_refseq_110.lst --output_dir meta/109_for_110 --out_file_pfx rs8t_
