_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
Hard clam (quahog)	Mercenaria mercenaria	mmer	GCA_014805675.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/805/675/GCF_014805675.1_ASM1480567v1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Mercenaria_mercenaria/100	NCBI Mercenaria mercenaria Annotation Release 100	Institute of Oceanology, Chinese Academy of Sciences	http://english.qdio.cas.cn/rh/rd/klmees/
Yesso scallop	Mizuhopecten yessoensis	myes	GCA_002113885.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/113/885/GCF_002113885.1_ASM211388v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Mizuhopecten_yessoensis/100	NCBI Mizuhopecten yessoensis Annotation Release 100	College of Marine Life, Ocean University of China	http://eweb.ouc.edu.cn/mls/
Octopus	Octopus bimaculoides	obim	GCA_001194135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/194/135/GCF_001194135.1_Octopus_bimaculoides_v2_0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Octopus_bimaculoides/100	NCBI Octopus bimaculoides Annotation Release 100	Vincent J. Coates Genomic Sequencing Laboratory at UC Berkeley	https://vcresearch.berkeley.edu/facilities/qb3-vincent-j-coates-genomics-sequencing-laboratory
Lamp shell (Brachiopod)	Lingula anatina	lana	GCA_001039355.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/355/GCF_001039355.2_LinAna2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Lingula_anatina/101	NCBI Lingula anatina Annotation Release 101	Okinawa Institute of Science and Technology Graduate University (OIST)	https://www.oist.jp/
Stony coral	Acropora millepora	amil	GCA_013753865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/753/865/GCF_013753865.1_Amil_v2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Acropora_millepora/101	NCBI Acropora millepora Annotation Release 101	Department of Biological Sciences, Columbia University	https://www.biology.columbia.edu/
Australian red waratah sea anemone	Actinia tenebrosa	aten	GCA_009602425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/602/425/GCF_009602425.1_ASM960242v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Actinia_tenebrosa/100	NCBI Actinia tenebrosa Annotation Release 100	Health faculty, Queensland University of Technology (QUT)	https://www.qut.edu.au/study/health
Sea anemone	Exaiptasia pallida	edia	GCA_001417965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/965/GCF_001417965.1_Aiptasia_genome_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Exaiptasia_pallida/100	NCBI Exaiptasia pallida Annotation Release 100	Reef Genomics Lab, King Abdullah University of Science and Technology (KAUST)	http://reefgenomics.kaust.edu.sa/
Crown-of-thorns starfish	Acanthaster planci	apla	GCA_001949145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/949/145/GCF_001949145.1_OKI-Apl_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Acanthaster_planci/100	NCBI Acanthaster planci Annotation Release 100	Marine Genomics Unit, Institute of Science and Technology	https://marinegenomics.oist.jp/
European starfish	Asterias rubens	arub	GCA_902459465.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/459/465/GCF_902459465.1_eAstRub1.3	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Asterias_rubens/100	NCBI Asterias rubens Annotation Release 100	Wellcome Sanger Institute	https://www.sanger.ac.uk/
Bat star starfish	Patiria miniata	pmin	GCA_015706575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/706/575/GCF_015706575.1_ASM1570657v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Patiria_miniata/100	NCBI Patiria miniata Annotation Release 100	Biological Sciences, Carnegie Mellon University	https://www.cmu.edu/bio/
East Asian common octopus	Octopus sinensis	osin	GCA_006345805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/345/805/GCF_006345805.1_ASM634580v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Octopus_sinensis/101/	NCBI Octopus sinensis Annotation Release 101	Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences	http://www.ysfri.ac.cn/
Water bear tardigrade	Hypsibius dujardini	hduj	GCA_002082055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/055/GCA_002082055.1_nHd_3.1	NOT REFSEQ	NOT REFSEQ	Institute for Advanced Biosciences, Keio University	https://www.iab.keio.ac.jp/en/index.html
Segmented worms	Dimorphilus gyrociliatus	dgyr	GCA_904063045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/063/045/GCA_904063045.1_Dgyrociliatus_assembly	NOT REFSEQ	NOT REFSEQ	Department of Biological Sciences, University of Bergen	https://www.uib.no/en/bio
Segmented worms	Owenia fusiformis	ofus	GCA_903813345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/813/345/GCA_903813345.1_Owenia_assembly_annotated	NOT REFSEQ	NOT REFSEQ	Chema Martin-Duran lab., School of Biological and Chemical Sciences, Queen Mary University Of London	https://www.qmul.ac.uk/sbbs/
Amphipod	Hyalella azteca	hazt3	GCA_000764305.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/305/GCA_000764305.3_Hazt_2.0.1	NOT REFSEQ	NOT REFSEQ (assembly version update)	BCM-HGSC i5k initiative (arthropods) Hyalella azteca Genome Project	https://www.hgsc.bcm.edu/arthropods/hyalella-azteca-genome-project
Kuruma shrimp	Penaeus japonicus	pjap2	GCA_017312705.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/312/705/GCA_017312705.2_Mj_TUMSAT_v1.0	NOT REFSEQ	NOT REFSEQ (assembly version update)	Laboratory of Genome Science Graduate School of Marine Science and Technology, Tokyo University of Marine Science and Technology	https://www2.kaiyodai.ac.jp/~h-kondo/genome/index.html

#has GnBld: King scallop	Pecten maximus	pmax	GCA_902652985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/652/985/GCF_902652985.1_xPecMax1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Pecten_maximus/100	NCBI Pecten maximus Annotation Release 100	Wellcome Sanger Institute	https://www.sanger.ac.uk/

# cat _refseq_108.lst | grep -vF '#' | grep -vP '^\s*$' | awk -F "\t" '{print NF}' | sort | uniq -c
# cd ../../
# python3 ./scripts/tmpl2meta.py --template meta/refseq.tmpl --param_table meta/106/_refseq_108.lst --output_dir meta/106 --out_file_pfx rs8t_
